epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,45.1097,1.12783,4.42597,1.19225,0.42966,0.18243,0.17743,0.14671,0.69822,3.0274,1.05787,5.4314e-05,5.4314e-05,5.4314e-05
2,93.3955,0.86384,2.97438,1.13163,0.70905,0.46434,0.5372,0.46299,0.68225,1.88361,1.12317,0.000104665,0.000104665,0.000104665
3,126.523,0.85657,2.10397,1.15552,0.73532,0.68675,0.74351,0.65501,0.64536,1.32279,1.10793,0.000150686,0.000150686,0.000150686
4,162.588,0.81128,1.655,1.14802,0.81327,0.80437,0.8403,0.74886,0.58443,1.00318,1.07357,0.000144517,0.000144517,0.000144517
5,197.354,0.76491,1.43486,1.10934,0.87214,0.85383,0.88013,0.79184,0.54796,0.82751,1.0406,0.000138022,0.000138022,0.000138022
6,230.427,0.72657,1.28622,1.08868,0.89569,0.87302,0.89679,0.81145,0.52173,0.75006,1.02289,0.000131528,0.000131528,0.000131528
7,266.637,0.70152,1.18718,1.0694,0.91284,0.87678,0.90152,0.81719,0.51838,0.7163,1.00973,0.000125034,0.000125034,0.000125034
8,299.248,0.69178,1.13286,1.06636,0.92905,0.88476,0.90745,0.82921,0.49679,0.68468,1.00174,0.000118539,0.000118539,0.000118539
9,341.413,0.66236,1.07644,1.04943,0.93144,0.90016,0.91136,0.83163,0.49646,0.64311,0.99241,0.000112045,0.000112045,0.000112045
10,378.119,0.6596,1.06817,1.06067,0.93599,0.90132,0.91369,0.8308,0.4983,0.6352,0.99702,0.00010555,0.00010555,0.00010555
11,410.24,0.65619,1.04909,1.04937,0.93043,0.90778,0.91624,0.84359,0.46908,0.6062,0.98327,9.9056e-05,9.9056e-05,9.9056e-05
12,447.003,0.63807,1.0011,1.04006,0.93041,0.90075,0.91627,0.84649,0.45779,0.59673,0.97767,9.25616e-05,9.25616e-05,9.25616e-05
13,480.582,0.6328,1.00004,1.04086,0.93687,0.90213,0.9204,0.84729,0.46122,0.58882,0.97355,8.60672e-05,8.60672e-05,8.60672e-05
14,514.637,0.62647,0.95227,1.03338,0.94086,0.90518,0.9206,0.84848,0.45542,0.57465,0.9709,7.95728e-05,7.95728e-05,7.95728e-05
15,550.281,0.62322,0.94954,1.03095,0.9439,0.90151,0.92321,0.85462,0.44257,0.5551,0.96948,7.30784e-05,7.30784e-05,7.30784e-05
16,582.294,0.50631,0.79285,0.99185,0.94592,0.90297,0.92234,0.85361,0.44796,0.54775,0.96715,6.6584e-05,6.6584e-05,6.6584e-05
17,622.322,0.49151,0.77508,0.97825,0.93895,0.90498,0.92447,0.859,0.43331,0.53159,0.95672,6.00896e-05,6.00896e-05,6.00896e-05
18,654.622,0.47942,0.75536,0.97422,0.92544,0.91622,0.92644,0.8597,0.43369,0.52112,0.95836,5.35952e-05,5.35952e-05,5.35952e-05
19,687.549,0.47241,0.7383,0.96814,0.95606,0.89758,0.92867,0.86047,0.43479,0.51447,0.95461,4.71008e-05,4.71008e-05,4.71008e-05
20,719.822,0.46561,0.72432,0.96206,0.94281,0.90644,0.92889,0.86351,0.42635,0.50787,0.9521,4.06064e-05,4.06064e-05,4.06064e-05
21,751.9,0.4654,0.72557,0.96301,0.94276,0.9063,0.92974,0.86361,0.42197,0.5019,0.94973,3.4112e-05,3.4112e-05,3.4112e-05
22,786.757,0.4673,0.72385,0.96801,0.94412,0.90241,0.93084,0.86442,0.42132,0.49871,0.95087,2.76176e-05,2.76176e-05,2.76176e-05
23,817.717,0.45322,0.70995,0.95194,0.95066,0.9023,0.93134,0.86775,0.41587,0.49544,0.94665,2.11232e-05,2.11232e-05,2.11232e-05
24,853.297,0.44815,0.70068,0.95712,0.93926,0.91071,0.93163,0.86601,0.41514,0.49547,0.94387,1.46288e-05,1.46288e-05,1.46288e-05
25,888.513,0.44312,0.69413,0.95306,0.93931,0.90883,0.93179,0.86789,0.41198,0.49381,0.94466,8.1344e-06,8.1344e-06,8.1344e-06
