epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,100.54,0.82518,4.29536,1.0541,0.39272,0.24875,0.21047,0.18568,0.68096,2.95997,1.0253,5.45486e-05,5.45486e-05,5.45486e-05
2,194.835,0.80028,2.75496,1.10174,0.70555,0.65154,0.71223,0.61914,0.67084,1.44055,1.10022,0.00010489,0.00010489,0.00010489
3,285.177,0.73707,1.77288,1.08078,0.87193,0.82281,0.87111,0.75792,0.60168,0.94193,1.04038,0.000150902,0.000150902,0.000150902
4,377.991,0.69596,1.4281,1.05325,0.90347,0.8758,0.90301,0.80587,0.54214,0.75084,0.99571,0.000144517,0.000144517,0.000144517
5,467.789,0.6537,1.2613,1.02866,0.9211,0.89406,0.90914,0.82254,0.50544,0.69006,0.98255,0.000138022,0.000138022,0.000138022
6,557.851,0.61537,1.12716,1.00243,0.91799,0.9059,0.91316,0.82388,0.51887,0.65252,0.9767,0.000131528,0.000131528,0.000131528
7,650.289,0.60229,1.05958,0.99261,0.94561,0.89633,0.91432,0.83844,0.47905,0.64257,0.95818,0.000125034,0.000125034,0.000125034
8,739.708,0.58403,1.00577,0.98303,0.937,0.90489,0.91803,0.84276,0.47649,0.60497,0.95443,0.000118539,0.000118539,0.000118539
9,829.124,0.57046,0.96938,0.97636,0.94396,0.90648,0.91975,0.84451,0.47174,0.58608,0.9533,0.000112045,0.000112045,0.000112045
10,922.059,0.56272,0.93294,0.97066,0.94183,0.90403,0.92171,0.84588,0.46035,0.57108,0.94369,0.00010555,0.00010555,0.00010555
11,1012.68,0.55332,0.90671,0.96894,0.94133,0.90516,0.92141,0.84538,0.46847,0.58373,0.95231,9.9056e-05,9.9056e-05,9.9056e-05
12,1105.03,0.53927,0.87837,0.96026,0.94119,0.90785,0.92486,0.85409,0.44949,0.54109,0.93551,9.25616e-05,9.25616e-05,9.25616e-05
13,1194.92,0.53104,0.85405,0.95575,0.92263,0.91933,0.92549,0.85766,0.44675,0.53642,0.93511,8.60672e-05,8.60672e-05,8.60672e-05
14,1282.71,0.52473,0.83325,0.95048,0.95612,0.90398,0.92471,0.86065,0.43491,0.52541,0.93037,7.95728e-05,7.95728e-05,7.95728e-05
15,1373.09,0.53213,0.84138,0.95921,0.94205,0.90658,0.92571,0.859,0.43265,0.52069,0.93124,7.30784e-05,7.30784e-05,7.30784e-05
16,1460.06,0.44519,0.70033,0.91378,0.94777,0.90534,0.92645,0.85953,0.43455,0.51571,0.92732,6.6584e-05,6.6584e-05,6.6584e-05
17,1547.23,0.43769,0.67536,0.90697,0.93493,0.9139,0.92848,0.86241,0.42242,0.5008,0.9253,6.00896e-05,6.00896e-05,6.00896e-05
18,1636.14,0.43031,0.65875,0.90493,0.94387,0.90851,0.92754,0.86413,0.42699,0.4907,0.92277,5.35952e-05,5.35952e-05,5.35952e-05
19,1720.53,0.42205,0.64823,0.89822,0.95071,0.90401,0.93048,0.86795,0.41511,0.48773,0.92099,4.71008e-05,4.71008e-05,4.71008e-05
20,1805.15,0.41947,0.6352,0.8978,0.94363,0.91223,0.92996,0.86838,0.4105,0.4793,0.91807,4.06064e-05,4.06064e-05,4.06064e-05
21,1892.94,0.41223,0.626,0.89399,0.93376,0.91829,0.93,0.86708,0.41117,0.47605,0.91549,3.4112e-05,3.4112e-05,3.4112e-05
22,1979.68,0.41094,0.61579,0.89117,0.94649,0.91335,0.93132,0.86988,0.40352,0.47055,0.91458,2.76176e-05,2.76176e-05,2.76176e-05
23,2067.49,0.40623,0.61034,0.88852,0.94383,0.91394,0.93096,0.87093,0.40191,0.4678,0.91113,2.11232e-05,2.11232e-05,2.11232e-05
24,2152.52,0.40395,0.60729,0.88829,0.94285,0.91407,0.93032,0.871,0.39825,0.46693,0.91033,1.46288e-05,1.46288e-05,1.46288e-05
25,2238.84,0.40261,0.60183,0.88622,0.94238,0.91576,0.93116,0.87227,0.39697,0.4627,0.91145,8.1344e-06,8.1344e-06,8.1344e-06
